"コード","銘柄名","市場","現在値","前日比(%)"
"1301","極洋","東P","3615","-65.0(-1.77%)"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","1710","-36.0(-2.06%)"
"1332","ニッスイ","東P","935.4","-19.6(-2.05%)"
"1333","マルハニチロ","東P","3036.0","-68.0(-2.19%)"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","-","- (-%)"
"1375","雪国まいたけ","東P","979","-17.0(-1.71%)"
"1376","カネコ種苗","東S","1414","-12.0(-0.84%)"
"1377","サカタのタネ","東P","3605","+0.0(+0.00%)"
"1379","ホクト","東P","1811","-18.0(-0.98%)"
"137A","Ｃｏｃｏｌｉｖｅ","東G","1467","-34.0(-2.27%)"
"1380","秋川牧園","東S","1035","-5.0(-0.48%)"
"1381","アクシーズ","東S","3210","-15.0(-0.47%)"
"1382","ホーブ","東S","2139","-11.0(-0.51%)"
"1383","ベルグアース","東S","3345","-25.0(-0.74%)"
"1384","ホクリヨウ","東S","1002","-14.0(-1.38%)"
"138A","光フードサービス","東G","4955","-315.0(-5.98%)"
"1401","エムビーエス","東G","717","+44.0(+6.54%)"
"1407","ウエストＨＬＤＧ","東S","2649","-33.0(-1.23%)"
"1414","ショーボンドＨＬＤＧ","東P","6015.0","-10.0(-0.17%)"
"1417","ミライト・ワン","東P","1935.0","-40.0(-2.03%)"
"1418","インターライフＨＬＤＧ","東S","221","-4.0(-1.78%)"
"1419","タマホーム","東P","4225","+40.0(+0.96%)"
"141A","トライアルＨＬＤＧ","東G","2545","-50.0(-1.93%)"
"1420","サンヨーホームズ","東S","725","-5.0(-0.68%)"
"1429","日本アクア","東P","1016","+4.0(+0.40%)"
"142A","ジンジブ","東G","2830","+0.0(+0.00%)"
"1430","ファーストコーポレーション","東S","846","-13.0(-1.51%)"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","731","-12.0(-1.62%)"
"1433","ベステラ","東P","949","-13.0(-1.35%)"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","983","-12.0(-1.21%)"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","157","-3.0(-1.88%)"
"1436","フィット","東G","974","-5.0(-0.51%)"
"1438","岐阜造園","東S","1949","+48.0(+2.52%)"
"1439","安江工務店","東S","1385","+0.0(+0.00%)"
"143A","イシン","東G","1501","-29.0(-1.90%)"
"1443","技研ＨＬＤＧ","東S","220","-1.0(-0.45%)"
"1444","ニッソウ","東G","2787","+12.0(+0.43%)"
"1446","キャンディル","東S","595","-2.0(-0.34%)"
"1447","ＩＴｂｏｏｋ　ＨＬＤＧ","東G","267","-7.0(-2.55%)"
"1450","田中建設工業","東S","1982","-8.0(-0.40%)"
"1451","ＫＨＣ","東S","736","-7.0(-0.94%)"
"145A","Ｌ　ｉｓ　Ｂ","東G","896","-29.0(-3.14%)"
"146A","コロンビア・ワークス","東S","3610","-240.0(-6.23%)"
"147A","ソラコム","東G","1722","+24.0(+1.41%)"
"148A","ハッチ・ワーク","東G","1990","+25.0(+1.27%)"
"1491","中外鉱業","東S","32","-1.0(-3.03%)"
"149A","シンカ","東G","992","-39.0(-3.78%)"
"150A","ＪＳＨ","東G","489","-18.0(-3.55%)"
"1514","住石ＨＬＤＧ","東S","-","- (-%)"
"1515","日鉄鉱業","東P","4965","-165.0(-3.22%)"
"1518","三井松島ＨＬＤＧ","東P","3070","-45.0(-1.44%)"
"151A","ダイブ","東G","3050","-90.0(-2.87%)"
"153A","カウリス","東G","3025","-160.0(-5.02%)"
"155A","情報戦略テクノロジー","東G","573","-21.0(-3.54%)"
"156A","マテリアルグループ","東G","908","-61.0(-6.30%)"
"157A","グリーンモンスター","東G","1001","-6.0(-0.60%)"
"1605","ＩＮＰＥＸ","東P","2503.5","-84.0(-3.25%)"
"160A","アズパートナーズ","東S","1753","-112.0(-6.01%)"
"165A","ＳＢＩレオスひふみ","東G","1147","-5.0(-0.43%)"
"1662","石油資源開発","東P","7040","-250.0(-3.43%)"
"1663","Ｋ＆Ｏエナジーグループ","東P","3195","-250.0(-7.26%)"
"166A","タスキＨＬＤＧ","東G","604","-14.0(-2.27%)"
"167A","リョーサン菱洋ＨＬＤＧ","東P","2931","-84.0(-2.79%)"
"168A","イタミアート","東G","1414","-46.0(-3.15%)"
"1711","ＳＤＳＨＬＤＧ","東S","495","+0.0(+0.00%)"
"1712","ダイセキ環境ソリューション","東S","931","-21.0(-2.21%)"
"1716","第一カッター興業","東S","1532","-28.0(-1.79%)"
